"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"164","Kec. Banyuresmi ","Garut",38,9,3,3,2,1,2,2,2,2,2,2,2,2,2,2
"165","Kec. Leles ","Garut",94,0,0,0,5,0,4,0,4,0,4,0,4,0,4,0
"166","Kec. Leuwigoong ","Garut",29,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"167","Kec. Cibatu ","Garut",36,27,3,3,2,1,4,0,4,0,4,0,4,0,4,0
"168","Kec. Cibiuk ","Garut",14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"169","Kec. Kadungora ","Garut",29,9,2,2,4,1,4,4,4,4,4,4,4,4,4,4
"170","Kec. Blubur Limbangan ","Garut",54,1,0,0,4,0,2,2,2,2,2,2,2,2,2,2
"171","Kec. Selaawi ","Garut",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Kec. Malangbong ","Garut",33,16,1,1,5,0,5,1,5,1,5,1,5,1,5,1
"173","Kec. Mekarmukti ","Garut",9,17,3,3,1,1,0,0,0,0,0,0,0,0,0,0
"174","Kec. Caringin ","Garut",58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"175","Kec. Cihurip ","Garut",14,1,1,1,0,1,0,2,0,2,0,2,0,2,0,2
"176","Kec. Sukaresmi ","Garut",18,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"177","Kec. Pasirwangi ","Garut",14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"178","Kec. Karangtengah ","Garut",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Kec. Kersamanah ","Garut",18,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
