wilayah_id;kode_wilayah;nama;id_level_wilayah;mst_kode_wilayah
d5ccdd14-6f20-4d5f-8dbd-8264bb78987f;52705;Kec. Omben                    ;3;52700
e46103ff-d4c6-43af-9b23-d786eddadc18;52706;Kec. Kedungdung               ;3;52700
1bb8ea3e-9ad7-4768-8b21-676f697e540e;52707;Kec. Jrengik                  ;3;52700
fadc2b1a-68f7-4625-913f-e53461a8f172;52708;Kec. Tambelangan              ;3;52700
b9ea6881-10ad-4ba5-bc17-a075527b9df9;52709;Kec. Banyuates                ;3;52700
d613307e-08b7-40f6-a437-52d61fb6143a;52710;Kec. Robatal                  ;3;52700
76684e0b-96af-40c5-a75a-f3850e744836;52711;Kec. Ketapang                 ;3;52700
0e085ba0-8903-454f-a6ea-a7a6a6a2e969;52712;Kec. Sokobanah                ;3;52700
96a9949a-86ae-46e2-bffa-4910f44755df;52713;Kec. Karangpenang             ;3;52700
c6ce052a-9015-414b-8961-5a4a76c6048c;52714;Kec. Pangarengan              ;3;52700
e1d25428-5929-470a-bfe7-9bad5e3d4dbb;52800;Kab. Sumenep                  ;2;50000
7cb0d7fc-b8ee-49d9-958b-7c1e005137f4;52801;Kec. Pragaan                  ;3;52800
0db348c8-23d4-43c9-90eb-f0be77865f53;52802;Kec. Bluto                    ;3;52800
67b51b44-7032-4f4d-9f5c-df97b33dbc0a;52803;Kec. Saronggi                 ;3;52800
7c628a40-be7c-40d1-bf13-99a5586f85fe;52804;Kec. Giligenteng              ;3;52800
88f0ca9a-da1d-4a05-b87d-7c57119c9aca;52805;Kec. Talango                  ;3;52800
6b30ad01-5a2b-4d75-bdc4-a76ac72546be;52806;Kec. Kalianget                ;3;52800
88e324f0-39a8-458a-ab38-581c90f25571;52807;Kec. Kota Sumenep             ;3;52800
083ec84c-21d2-4680-a625-ff923adfc147;52808;Kec. Lenteng                  ;3;52800
35c06adc-007b-4f1a-947f-a618929774f6;52809;Kec. Ganding                  ;3;52800
68feef97-34b9-43ff-a2ac-792e5f672f7c;52810;Kec. Guluk Guluk              ;3;52800
b6e3cd5c-c4a6-43e8-80f8-ef2d950ba9b8;52811;Kec. Pasongsongan             ;3;52800
7692861d-8712-42af-8f9f-bd4adf550d53;52812;Kec. Ambunten                 ;3;52800
c096150d-5871-4795-aebc-5bda2e24c7d5;52813;Kec. Rubaru                   ;3;52800
cd4804c2-6214-4fee-8213-0f62bc394ffb;52814;Kec. Dasuk                    ;3;52800
ba7f168a-150c-4549-ae2d-44e484867984;52815;Kec. Manding                  ;3;52800
5ffff278-2914-4b90-8557-967f50bacf31;52816;Kec. Batuputih                ;3;52800
35bdcc73-cd4e-4957-b2c0-2c4a371b535f;52817;Kec. Gapura                   ;3;52800
a012282f-f107-4930-8a34-2eb06f40247a;52818;Kec. Batang Batang            ;3;52800
c4efe354-2213-455c-ad5b-596b81b41904;52819;Kec. Dungkek                  ;3;52800
6438c0d3-8e83-4ae6-b830-108c9ca65f7b;52820;Kec. Nonggunong               ;3;52800
28a7df7f-81c6-4a92-9510-80ff8188a7c6;52821;Kec. Gayam                    ;3;52800
beb347c7-8849-4c49-a505-7f02c74472ab;52822;Kec. Ra As                    ;3;52800
7bec4036-ea5b-4e9c-a631-1d0a0f5351b8;52823;Kec. Sapeken                  ;3;52800
ea7dc90e-a350-4a48-ba54-85506610b8fa;52824;Kec. Arjasa                   ;3;52800
7cc05849-f9a7-452f-9fb1-4f56d6ac28dc;52825;Kec. Masalembu                ;3;52800
7302d55c-7f62-4a49-b1d0-a00547b59ef5;52827;Kec. Batuan                   ;3;52800
38d483ca-471f-43f8-9385-988feb854de0;52828;Kec. Kangayan                 ;3;52800
6b072922-7882-4a8a-96a3-450cbeeed736;52900;Kab. Bangkalan                ;2;50000
9ae91f53-8db8-4ea4-a3df-556a7cde51a7;52901;Kec. Kamal                    ;3;52900
6e872b24-6ea4-4eea-862c-e4dfd8cc3c68;52902;Kec. Labang                   ;3;52900
df1e1f3c-27f8-4f1a-be1e-695a51066839;52903;Kec. Kwanyar                  ;3;52900
5d7f0b01-47cc-449a-8061-2a2358f9547e;52904;Kec. Modung                   ;3;52900
bcd59888-685b-421e-984b-03ac41413b2c;52905;Kec. Blega                    ;3;52900
88c2b31b-e03c-44dd-a5ea-d676026a7cc6;52906;Kec. Konang                   ;3;52900
f59eae54-2c23-4902-a80d-931b07070978;52907;Kec. Galis                    ;3;52900
