"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"960","Kec. Sukosari ","Bondowoso","Jawa Tengah",0,0,0.33,0,0.5
"961","Kec. Tenggarang ","Bondowoso","Jawa Tengah",0.1,0,0.17,0,0.5
"962","Kec. Bondowoso ","Bondowoso","Jawa Tengah",0.13,0.44,0.23,0.38,0.3
"963","Kec. Curahdami ","Bondowoso","Jawa Tengah",0.5,0,0.5,1,1
"964","Kec. Wringin ","Bondowoso","Jawa Tengah",0.3,0,0.33,0,0.25
"965","Kec. Cermee ","Bondowoso","Jawa Tengah",0.11,0,0,0,0
"966","Kec. Sumber Wringin ","Bondowoso","Jawa Tengah",0,0,1,0,0.5
"967","Kec. Botolinggo ","Bondowoso","Jawa Tengah",0.43,0,0.5,0.5,1
"968","Kec. Banyuglugur ","Situbondo","Jawa Timur",0,0,0.5,0,0.5
"969","Kec. Suboh ","Situbondo","Jawa Timur",0,0,0.25,0,0.5
"970","Kec. Situbondo ","Situbondo","Jawa Timur",0.46,0.43,0.43,0.33,0.75
"971","Kec. Panji ","Situbondo","Jawa Timur",0.22,0.67,0.5,0.33,0.25
"972","Kec. Asembagus ","Situbondo","Jawa Timur",0.31,0,0.33,0.25,0.5
"973","Kec. Banyuputih ","Situbondo","Jawa Timur",0.06,0,0.12,0,0.1
"974","Kec. Jatirejo ","Mojokerto","Jawa Timur",0,0,0.5,0,0.25
"975","Kec. Pacet ","Mojokerto","Jawa Timur",0.73,0.25,0.5,0.33,0.38
"976","Kec. Ngoro ","Mojokerto","Jawa Timur",0.22,1,0,0.5,0
"977","Kec. Pungging ","Mojokerto","Jawa Timur",0,0,0.17,0,0.5
"978","Kec. Mojosari ","Mojokerto","Jawa Timur",0.04,0,0.12,0,0.12
"979","Kec. Puri ","Mojokerto","Jawa Timur",0.79,0.83,0.78,0.8,0.7
"980","Kec. Sooko ","Mojokerto","Jawa Timur",0,0,0.2,0,0.25
"981","Kec. Gedeg ","Mojokerto","Jawa Timur",0,0,0.29,0,0.33
"982","Kec. Jetis ","Mojokerto","Jawa Timur",0,0,1,0,0.5
"983","Kec. Dawar Blandong ","Mojokerto","Jawa Timur",0.05,0,0.2,0,0.25
"984","Kec. Ngrambe ","Ngawi","Jawa Timur",0,0,0.5,0,0.5
"985","Kec. Jogorogo ","Ngawi","Jawa Timur",0,0,0.25,0,0.25
"986","Kec. Kendal ","Ngawi","Jawa Timur",0.77,1,0,0,0
"987","Kec. Karangjati ","Ngawi","Jawa Timur",0,0,0.5,0,0.5
"988","Kec. Ngawi ","Ngawi","Jawa Timur",0,0,0.14,0,0.17
"989","Kec. Paron ","Ngawi","Jawa Timur",0.21,0,1,0,0.25
"990","Kec. Kedunggalar ","Ngawi","Jawa Timur",0,0,0.25,0.33,0.17
"991","Kec. Widodaren ","Ngawi","Jawa Timur",0.87,1,0,0.67,0
"992","Kec. Poncol ","Magetan","Jawa Timur",0.43,0,0.5,0,0.5
"993","Kec. Magetan ","Magetan","Jawa Timur",0,0,0.08,0.14,0.1
"994","Kec. Maospati ","Magetan","Jawa Timur",0.18,0.75,0.67,0.5,0.5
"995","Kec. Karas ","Magetan","Jawa Timur",0,0.67,0,0,0
"996","Kec. Sidorejo ","Magetan","Jawa Timur",0,0.33,0.33,0,0.5
"997","Kec. Tutur ","Pasuruan","Jawa Timur",0,0,0.5,0,0.5
"998","Kec. Tosari ","Pasuruan","Jawa Timur",0,0,0.33,0,0.25
"999","Kec. Lumbang ","Pasuruan","Jawa Timur",0,0,0.33,0,0.5
"1000","Kec. Kejayan ","Pasuruan","Jawa Timur",0.1,0,0,0,0
"1001","Kec. Purwosari ","Pasuruan","Jawa Timur",0.91,1,1,0.67,1
"1002","Kec. Prigen ","Pasuruan","Jawa Timur",0,0,0.29,0,0.33
"1003","Kec. Sukorejo ","Pasuruan","Jawa Timur",0,0,0.5,0,0.5
"1004","Kec. Pandaan ","Pasuruan","Jawa Timur",0,0,0.27,0,0.4
"1005","Kec. Gempol ","Pasuruan","Jawa Timur",0,0,0.2,0.33,0.5
"1006","Kec. Beji ","Pasuruan","Jawa Timur",0,1,1,1,1
"1007","Kec. Bangil ","Pasuruan","Jawa Timur",0,0,0.08,0,0.17
"1008","Kec. Pohjentrek ","Pasuruan","Jawa Timur",0,0,0.5,0,0.25
"1009","Kec. Gondang Wetan ","Pasuruan","Jawa Timur",0,0,0.25,0,0.5
"1010","Kec. Grati ","Pasuruan","Jawa Timur",0.5,0,0,0,0
"1011","Kec. Nguling ","Pasuruan","Jawa Timur",0.24,1,0,0,0
"1012","Kec. Karang Pilang ","Surabaya","Jawa Timur",0,0,0.2,0,0.17
"1013","Kec. Jambangan ","Surabaya","Jawa Timur",0.34,0.38,0.29,0.33,0.33
"1014","Kec. Gayungan ","Surabaya","Jawa Timur",0,0,0.08,0,0.08
"1015","Kec. Wonocolo ","Surabaya","Jawa Timur",0.17,0.12,0.07,0,0.03
"1016","Kec. Tenggilis Mejoyo ","Surabaya","Jawa Timur",0.31,0.25,0.4,0.5,0.5
"1017","Kec. Rungkut ","Surabaya","Jawa Timur",0.21,0.23,0.29,0.4,0.33
"1018","Kec. Sukolilo ","Surabaya","Jawa Timur",0.23,0.24,0.19,0.17,0.17
"1019","Kec. Mulyorejo ","Surabaya","Jawa Timur",0.05,0.12,0,0,0
"1020","Kec. Wonokromo ","Surabaya","Jawa Timur",0,0,0.12,0,0.14
"1021","Kec. Wiyung ","Surabaya","Jawa Timur",0.19,0.29,0.38,0.33,0.3
"1022","Kec. Lakarsantri ","Surabaya","Jawa Timur",0,0,0.05,0,0.08
"1023","Kec. Tandes ","Surabaya","Jawa Timur",0,0,0.12,0,0.12
"1024","Kec. Sukomanunggal ","Surabaya","Jawa Timur",0,0,0.05,0,0.07
"1025","Kec. Sawahan ","Surabaya","Jawa Timur",0.07,0.06,0.19,0.14,0.25
"1026","Kec. Genteng ","Surabaya","Jawa Timur",0.13,0.19,0.19,0.2,0.23
