"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"154","Kec. Cikajang ","Garut","Jawa Barat",50,3,3,1,2,1,6,4,24,16
"155","Kec. Banjarwangi ","Garut","Jawa Barat",12,5,1,0,1,1,0,0,0,0
"156","Kec. Cilawu ","Garut","Jawa Barat",43,0,5,0,3,0,4,0,16,0
"157","Kec. Bayongbong ","Garut","Jawa Barat",8,36,0,4,0,1,0,2,0,8
"158","Kec. Cisurupan ","Garut","Jawa Barat",55,0,6,0,2,0,2,0,8,0
"159","Kec. Samarang ","Garut","Jawa Barat",45,1,4,0,2,0,2,0,8,0
"160","Kec. Garut ","Garut","Jawa Barat",20,46,5,4,2,2,2,6,8,24
"161","Kec. Karangpawitan ","Garut","Jawa Barat",77,0,4,0,2,0,2,2,8,8
"162","Kec. Wanaraja ","Garut","Jawa Barat",9,24,0,1,1,1,0,0,0,0
"163","Kec. Sukawening ","Garut","Jawa Barat",47,0,5,0,4,0,4,2,16,8
"164","Kec. Banyuresmi ","Garut","Jawa Barat",38,9,4,3,2,1,2,2,8,8
"165","Kec. Leles ","Garut","Jawa Barat",94,0,6,0,5,0,4,0,16,0
"166","Kec. Leuwigoong ","Garut","Jawa Barat",29,5,3,0,0,0,1,1,4,4
"167","Kec. Cibatu ","Garut","Jawa Barat",36,27,2,3,2,1,4,0,16,0
"168","Kec. Cibiuk ","Garut","Jawa Barat",14,0,3,0,2,0,0,0,0,0
"169","Kec. Kadungora ","Garut","Jawa Barat",29,9,2,2,4,1,4,4,16,16
"170","Kec. Blubur Limbangan ","Garut","Jawa Barat",54,1,8,0,4,0,2,2,8,8
"171","Kec. Selaawi ","Garut","Jawa Barat",3,0,0,0,0,0,0,0,0,0
"172","Kec. Malangbong ","Garut","Jawa Barat",33,16,3,1,5,0,5,1,20,4
"173","Kec. Mekarmukti ","Garut","Jawa Barat",9,17,0,3,1,1,0,0,0,0
"174","Kec. Caringin ","Garut","Jawa Barat",58,0,2,0,2,0,0,0,0,0
"175","Kec. Cihurip ","Garut","Jawa Barat",14,1,0,1,0,1,0,2,0,8
"176","Kec. Sukaresmi ","Garut","Jawa Barat",18,5,0,0,4,1,0,0,0,0
"177","Kec. Pasirwangi ","Garut","Jawa Barat",14,0,2,0,4,0,0,0,0,0
"178","Kec. Karangtengah ","Garut","Jawa Barat",12,0,0,0,0,0,0,0,0,0
"179","Kec. Kersamanah ","Garut","Jawa Barat",18,17,1,0,1,0,0,0,0,0
"180","Kec. Tarogong Kaler ","Garut","Jawa Barat",3,7,0,1,0,1,2,2,8,8
"181","Kec. Tarogong Kidul ","Garut","Jawa Barat",158,60,13,3,5,1,6,4,24,16
"182","Kec. Cigedug ","Garut","Jawa Barat",21,0,1,0,2,0,0,0,0,0
"183","Kec. Sucinaraja ","Garut","Jawa Barat",19,0,2,0,1,0,0,0,0,0
"184","Kec. Haurgeulis ","Indramayu","Jambi",7,21,4,2,2,0,1,1,4,4
"185","Kec. Kroya ","Indramayu","Jambi",16,3,1,2,0,1,2,0,8,0
"186","Kec. Gabuswetan ","Indramayu","Jambi",11,0,1,1,1,0,0,0,0,0
"187","Kec. Lelea ","Indramayu","Jambi",9,0,3,0,1,0,0,0,0,0
"188","Kec. Bangodua ","Indramayu","Jambi",0,0,0,0,0,0,0,0,0,0
