"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"156","Kec. Cilawu ","Garut","Jawa Barat",0,0,0,0,0,0,0
"157","Kec. Bayongbong ","Garut","Jawa Barat",0.82,1,1,1,1,1,1
"158","Kec. Cisurupan ","Garut","Jawa Barat",0,0,0,0,0,0,0
"159","Kec. Samarang ","Garut","Jawa Barat",0.02,0,0,0,0,0,0
"160","Kec. Garut ","Garut","Jawa Barat",0.7,0.44,0.5,0.75,0.75,0.75,0.75
"161","Kec. Karangpawitan ","Garut","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"162","Kec. Wanaraja ","Garut","Jawa Barat",0.73,1,0.5,NA,NA,NA,NA
"163","Kec. Sukawening ","Garut","Jawa Barat",0,0,0,0.33,0.33,0.33,0.33
"164","Kec. Banyuresmi ","Garut","Jawa Barat",0.19,0.43,0.33,0.5,0.5,0.5,0.5
"165","Kec. Leles ","Garut","Jawa Barat",0,0,0,0,0,0,0
"166","Kec. Leuwigoong ","Garut","Jawa Barat",0.15,0,NA,0.5,0.5,0.5,0.5
"167","Kec. Cibatu ","Garut","Jawa Barat",0.43,0.6,0.33,0,0,0,0
"168","Kec. Cibiuk ","Garut","Jawa Barat",0,0,0,NA,NA,NA,NA
"169","Kec. Kadungora ","Garut","Jawa Barat",0.24,0.5,0.2,0.5,0.5,0.5,0.5
"170","Kec. Blubur Limbangan ","Garut","Jawa Barat",0.02,0,0,0.5,0.5,0.5,0.5
"171","Kec. Selaawi ","Garut","Jawa Barat",0,NA,NA,NA,NA,NA,NA
"172","Kec. Malangbong ","Garut","Jawa Barat",0.33,0.25,0,0.17,0.17,0.17,0.17
"173","Kec. Mekarmukti ","Garut","Jawa Barat",0.65,1,0.5,NA,NA,NA,NA
"174","Kec. Caringin ","Garut","Jawa Barat",0,0,0,NA,NA,NA,NA
"175","Kec. Cihurip ","Garut","Jawa Barat",0.07,1,1,1,1,1,1
"176","Kec. Sukaresmi ","Garut","Jawa Barat",0.22,NA,0.2,NA,NA,NA,NA
"177","Kec. Pasirwangi ","Garut","Jawa Barat",0,0,0,NA,NA,NA,NA
"178","Kec. Karangtengah ","Garut","Jawa Barat",0,NA,NA,NA,NA,NA,NA
"179","Kec. Kersamanah ","Garut","Jawa Barat",0.49,0,0,NA,NA,NA,NA
"180","Kec. Tarogong Kaler ","Garut","Jawa Barat",0.7,1,1,0.5,0.5,0.5,0.5
"181","Kec. Tarogong Kidul ","Garut","Jawa Barat",0.28,0.19,0.17,0.4,0.4,0.4,0.4
"182","Kec. Cigedug ","Garut","Jawa Barat",0,0,0,NA,NA,NA,NA
"183","Kec. Sucinaraja ","Garut","Jawa Barat",0,0,0,NA,NA,NA,NA
"184","Kec. Haurgeulis ","Indramayu","Jambi",0.75,0.33,0,0.5,0.5,0.5,0.5
"185","Kec. Kroya ","Indramayu","Jambi",0.16,0.67,1,0,0,0,0
"186","Kec. Gabuswetan ","Indramayu","Jambi",0,0.5,0,NA,NA,NA,NA
"187","Kec. Lelea ","Indramayu","Jambi",0,0,0,NA,NA,NA,NA
"188","Kec. Bangodua ","Indramayu","Jambi",NA,NA,NA,NA,NA,NA,NA
"189","Kec. Widasari ","Indramayu","Jambi",0,NA,0,NA,NA,NA,NA
"190","Kec. Kertasemaya ","Indramayu","Jambi",0,0.2,0,0.12,0.12,0.12,0.12
"191","Kec. Krangkeng ","Indramayu","Jambi",0,0,0,0.5,0.5,0.5,0.5
"192","Kec. Karangampel ","Indramayu","Jambi",0,0,0,0.17,0.17,0.17,0.17
"193","Kec. Juntinyuat ","Indramayu","Jambi",0,0,0,0,0,0,0
"194","Kec. Sliyeg ","Indramayu","Jambi",0,0,0,0.33,0.33,0.33,0.33
"195","Kec. Jatibarang ","Indramayu","Jambi",0,0,0,0.33,0.33,0.33,0.33
"196","Kec. Balongan ","Indramayu","Jambi",0,0,0,0,0,0,0
"197","Kec. Indramayu ","Indramayu","Jambi",0,0,0,0.4,0.4,0.4,0.4
"198","Kec. Sindang ","Indramayu","Jambi",0,0,0,0.25,0.25,0.25,0.25
"199","Kec. Lohbener ","Indramayu","Jambi",0.12,0,0,NA,NA,NA,NA
"200","Kec. Losarang ","Indramayu","Jambi",0.38,0,0,0.25,0.25,0.25,0.25
"201","Kec. Kandanghaur ","Indramayu","Jambi",0.06,0.11,0.5,0.25,0.25,0.25,0.25
"202","Kec. Bongas ","Indramayu","Jambi",0,0,0,0,0,0,0
"203","Kec. Anjatan ","Indramayu","Jambi",0.13,0,0,0,0,0,0
"204","Kec. Sukra ","Indramayu","Jambi",0.13,0,0,NA,NA,NA,NA
"205","Kec. Arahan ","Indramayu","Jambi",0,NA,0,NA,NA,NA,NA
"206","Kec. Cantigi ","Indramayu","Jambi",0,0,0,0,0,0,0
"207","Kec. Gantar ","Indramayu","Jambi",0,0,0,NA,NA,NA,NA
"208","Kec. Terisi ","Indramayu","Jambi",0.19,0,0.5,0.5,0.5,0.5,0.5
"209","Kec. Sukagumiwang ","Indramayu","Jambi",0,0,0,0,0,0,0
"210","Kec. Kedokan Bunder ","Indramayu","Jambi",0,0,0,0.5,0.5,0.5,0.5
"211","Kec. Pasekan ","Indramayu","Jambi",0,0.5,0,0,0,0,0
"212","Kec. Tukdana ","Indramayu","Jambi",1,1,1,1,1,1,1
